x,Gene
1171,ATP1A1
1172,ATP1B1
1173,ATP1B2
1174,ATP1B3
1175,ATP2A2
1176,ATP2A3
1177,ATP2B1
1178,ATP2B4
1179,ATP2C1
1180,ATP5A1
1181,ATP5B
1182,ATP5C1
1183,ATP5D
1184,ATP5E
1185,ATP5EP2
1186,ATP5F1
1187,ATP5G1
1188,ATP5H
1189,ATP5I
1190,ATP5J
1191,ATP5J2
1192,ATP5L
1193,ATP5L2
1194,ATP5O
1195,ATP5S
1196,ATP6AP2
1197,ATP6V0C
1198,ATP6V0E1
1199,ATP6V0E2
1200,ATP6V1A
1201,ATP6V1B2
1202,ATP6V1C1
1203,ATP6V1D
1204,ATP6V1E1
1205,ATP6V1F
1206,ATP6V1G1
1207,ATP6V1G2-DDX39B
1208,ATP7A
1209,ATP8A1
1210,ATP8A2
1211,ATP8B1
1212,ATP9A
1213,ATPAF1
1214,ATPIF1
1215,ATR
1216,ATRAID
1217,ATRX
1218,ATXN1
1219,ATXN10
1220,ATXN2
1221,ATXN3
1222,ATXN7
1223,AUH
1224,AURKAIP1
1225,AVEN
1226,AVL9
1227,AVP
1228,AVPI1
1229,AY269186.2
1230,AZGP1
1231,AZIN1
1232,AZU1
1233,B2M
1234,B3GALNT1
1235,B3GALNT2
1236,B3GALT2
1237,B3GALT6
1238,B3GAT1
1239,B3GNT2
1240,B3GNT3
1241,B3GNT5
1242,B3GNT6
1243,B3GNT7
1244,B3GNT9
1245,B4GALNT4
1246,B4GALT1
1247,B4GALT2
1248,B4GALT5
1249,BABAM1
1250,BACE2
1251,BACH1-AS1
1252,BACH1-IT2
1253,BAG1
1254,BAG2
1255,BAG3
1256,BAG4
1257,BAG5
1258,BAIAP2L1
1259,BAIAP2L2
1260,BAK1
1261,BAMBI
1262,BANCR
1263,BANF1
1264,BANF2
1265,BANK1
1266,BARD1
1267,BARHL1
1268,BARX1
1269,BARX1-AS1
1270,BARX2
1271,BASP1
1272,BATF
1273,BATF3
1274,BAX
1275,BAZ1A
1276,BAZ1B
1277,BAZ2B
1278,BBC3
1279,BBIP1
1280,BBS10
1281,BBS2
1282,BBS4
1283,BBX
1284,BCAM
1285,BCAP29
1286,BCAS1
1287,BCAS2
1288,BCAT2
1289,BCCIP
1290,BCKDHA
1291,BCKDHB
1292,BCL10
1293,BCL2L1
1294,BCL2L10
1295,BCL2L2
1296,BCL2L2-PABPN1
1297,BCL3
1298,BCL6
1299,BCL7B
1300,BCL9
1301,BCL9L
1302,BCLAF1
1303,BCOR
1304,BCYRN1
1305,BDH2
1306,BDKRB2
1307,BDP1
1308,BEND4
1309,BEX1
1310,BEX2
1311,BEX4
1312,BEX5
1313,BFAR
1314,BGLAP
1315,BGN
1316,BHLHA15
1317,BHLHA9
1318,BHLHE22
1319,BHLHE23
1320,BHLHE40
1321,BHLHE41
1322,BHMT2
1323,BICC1
1324,BICD1
1325,BIK
1326,BIRC2
1327,BIRC3
1328,BIRC6
1329,BIVM-ERCC5
1330,BLCAP
1331,BLID
1332,BLNK
1333,BLOC1S2
1334,BLOC1S3
1335,BLOC1S4
1336,BLOC1S5
1337,BLOC1S5-TXNDC5
1338,BLOC1S6
1339,BLVRA
1340,BLVRB
1341,BMI1
1342,BMP5
1343,BMP6
1344,BMP8A
1345,BMPR1A
1346,BMPR1B
1347,BMPR1B-AS1
1348,BMPR2
1349,BMS1
1350,BNIP2
1351,BNIP3
1352,BNIP3L
1353,BOD1
1354,BOD1L1
1355,BOD1L2
1356,BOK
1357,BOLA2
1358,BOLA3
1359,bP-21264C1.2
1360,BPIFB2
1361,BPTF
1362,BRAF
1363,BRAP
1364,BRCC3
1365,BRD2
1366,BRD7
1367,BRE
1368,BRI3
1369,BRINP3
1370,BRK1
1371,BROX
1372,BRSK2
1373,BRWD1
1374,BRWD3
1375,BSG
1376,BSN-AS2
1377,BSPH1
1378,BSPRY
1379,BST2
1380,BTAF1
1381,BTBD1
1382,BTBD10
1383,BTBD19
1384,BTBD3
1385,BTBD6
1386,BTF3
1387,BTF3L4
1388,BTG1
1389,BTG2
1390,BTG3
1391,BTN3A1
1392,BTN3A2
1393,BTN3A3
1394,BTRC
1395,BUB3
1396,BUD31
1397,BX255923.3
1398,BX322557.13
1399,BZW1
1400,BZW2
1401,C10orf105
1402,C10orf107
1403,C10orf113
1404,C10orf12
1405,C10orf126
1406,C10orf32
1407,C10orf32-ASMT
1408,C10orf35
1409,C10orf91
1410,C10orf95
1411,C11orf1
1412,C11orf24
1413,C11orf31
1414,C11orf39
1415,C11orf40
1416,C11orf44
1417,C11orf52
1418,C11orf54
1419,C11orf57
1420,C11orf58
1421,C11orf68
1422,C11orf71
1423,C11orf73
1424,C11orf74
1425,C11orf80
1426,C11orf86
1427,C11orf91
1428,C11orf94
1429,C11orf95
1430,C11orf96
1431,C11orf98
1432,C12orf4
1433,C12orf45
1434,C12orf57
1435,C12orf60
1436,C12orf71
1437,C12orf75
1438,C14orf1
1439,C14orf119
1440,C14orf132
1441,C14orf142
1442,C14orf166
1443,C14orf169
1444,C14orf178
1445,C14orf2
1446,C15orf32
1447,C15orf38-AP3S2
1448,C15orf39
1449,C15orf43
1450,C15orf48
1451,C15orf53
1452,C15orf54
1453,C15orf61
1454,C15orf62
1455,C15orf65
1456,C16orf13
1457,C16orf46
1458,C16orf54
1459,C16orf72
1460,C16orf87
1461,C16orf91
1462,C17orf102
1463,C17orf107
1464,C17orf49
1465,C17orf50
1466,C17orf58
1467,C17orf75
1468,C17orf82
1469,C17orf85
1470,C17orf89
1471,C17orf96
1472,C17orf97
1473,C17orf98
1474,C18orf21
1475,C18orf32
1476,C18orf42
1477,C18orf65
1478,C19orf18
1479,C19orf24
1480,C19orf26
1481,C19orf33
1482,C19orf43
1483,C19orf48
1484,C19orf53
1485,C19orf60
1486,C19orf71
1487,C19orf73
1488,C19orf80
1489,C19orf81
1490,C19orf83
1491,C19orf84
1492,C1GALT1C1
1493,C1orf115
1494,C1orf116
1495,C1orf122
1496,C1orf123
1497,C1orf132
1498,C1orf137
1499,C1orf189
1500,C1orf194
1501,C1orf195
1502,C1orf198
1503,C1orf204
1504,C1orf21
1505,C1orf210
1506,C1orf229
1507,C1orf233
1508,C1orf27
1509,C1orf35
1510,C1orf43
1511,C1orf52
1512,C1orf53
1513,C1orf54
1514,C1orf56
1515,C1orf64
1516,C1QA
1517,C1QB
1518,C1QBP
1519,C1QC
1520,C1QL1
1521,C1QL2
1522,C1QL3
1523,C1QL4
1524,C1QTNF1
1525,C1QTNF3
1526,C1QTNF3-AMACR
1527,C1QTNF4
1528,C1QTNF5
1529,C1QTNF7
1530,C1QTNF9
1531,C1QTNF9B
1532,C1QTNF9B-AS1
1533,C1R
1534,C1S
1535,C20orf144
1536,C20orf187
1537,C20orf24
1538,C20orf27
1539,C20orf85
1540,C21orf33
1541,C21orf59
1542,C22orf31
1543,C22orf42
1544,C22orf46
1545,C2CD4A
1546,C2CD4B
1547,C2CD4C
1548,C2CD4D
1549,C2CD5
1550,C2orf40
1551,C2orf49
1552,C2orf50
1553,C2orf68
1554,C2orf69
1555,C2orf72
1556,C2orf74
1557,C2orf76
1558,C2orf82
1559,C3
1560,C3AR1
1561,C3orf14
1562,C3orf17
1563,C3orf33
1564,C3orf36
1565,C3orf62
1566,C3orf70
1567,C4A
1568,C4B
1569,C4orf3
